number,value,datetime_start,datetime_complete,duration,params_generations,params_has_variable_mutate_rate,params_mutation_rate,params_population_size,params_selection_size,params_use_crossover,user_attrs_mutation_operator_probabilities,state
78,11011.583333333334,2025-05-25 10:19:58.205109,2025-05-25 10:43:14.058879,0 days 00:23:15.853770,977,True,0.697851980862654,891,681,False,"[0.06276367123422821, 0.4753433607767487, 0.24194879430204813, 0.21994417368697508]",COMPLETE
79,11030.736111111111,2025-05-25 10:43:14.059356,2025-05-25 10:48:55.191953,0 days 00:05:41.132597,438,True,0.9578234412104798,527,407,False,"[0.3579642862046059, 0.03430972425288676, 0.5481465746229897, 0.05957941491951776]",COMPLETE
80,10959.847222222223,2025-05-25 10:48:55.193093,2025-05-25 10:56:05.598094,0 days 00:07:10.405001,850,True,0.4000020888400768,937,921,True,"[0.7495366685591074, 0.017422518892552908, 0.06784503171287472, 0.165195780835465]",COMPLETE
81,11135.416666666666,2025-05-25 10:56:05.598553,2025-05-25 10:59:37.673692,0 days 00:03:32.075139,864,True,0.580919765812719,106,53,True,"[0.0462467209585297, 0.14665015171410048, 0.5778610276176079, 0.22924209970976184]",COMPLETE
82,11135.263888888889,2025-05-25 10:59:37.674185,2025-05-25 11:03:19.202189,0 days 00:03:41.528004,476,False,0.9790024016896247,124,57,False,"[0.1253226728959432, 0.4172241203412641, 0.1977405425796255, 0.2597126641831672]",COMPLETE
83,11087.763888888889,2025-05-25 11:03:19.202623,2025-05-25 11:09:30.547190,0 days 00:06:11.344567,410,True,0.3450286911207566,406,272,False,"[0.13705655059779767, 0.04729948547195923, 0.6763453271656787, 0.13929863676456436]",COMPLETE
84,11134.680555555555,2025-05-25 11:09:30.548683,2025-05-25 11:11:05.581490,0 days 00:01:35.032807,618,True,0.6531143187914097,79,65,False,"[0.210966930109274, 0.0869393392426761, 0.22787210079428336, 0.47422162985376665]",COMPLETE
85,11102.819444444445,2025-05-25 11:11:05.582274,2025-05-25 11:33:39.195140,0 days 00:22:33.612866,411,False,0.7367797341112844,328,10,True,"[0.007896193154026818, 0.20949632623263423, 0.20229765377688158, 0.5803098268364574]",COMPLETE
86,11110.166666666666,2025-05-25 11:33:39.195888,2025-05-25 11:35:16.141121,0 days 00:01:36.945233,960,True,0.03013185437921543,112,97,True,"[0.5070678787403076, 0.07773277476226934, 0.20112943152758364, 0.21406991496983938]",COMPLETE
87,11266.069444444445,2025-05-25 11:35:16.141580,2025-05-25 11:35:58.381253,0 days 00:00:42.239673,198,True,0.8420913089594726,28,14,False,"[0.029673387814898335, 0.32234443761975845, 0.15988374752610168, 0.4880984270392416]",COMPLETE
